Ubigeo;Departamento;Total;0 - 4;5-Set;Oct-14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 -59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más;Year
;Huánuco;759,851;78,688;79,453;84,285;73,029;69,608;66,844;58,056;53,904;45,856;34,365;29,131;24,589;19,423;15,346;10,994;7,789;8,491;2019
;Ica;950,100;92,790;85,599;87,401;81,033;83,443;79,680;69,075;62,576;55,985;50,952;46,424;42,383;33,472;26,998;20,409;14,236;17,644;2019
;Junín;1,350,021;131,851;128,218;130,419;116,736;114,290;114,253;109,518;93,407;79,422;71,317;62,014;52,943;44,187;35,869;26,228;18,632;20,717;2019
;La Libertad;1,979,901;186,452;164,399;164,449;142,814;169,416;166,182;161,702;148,080;129,578;109,123;103,650;87,740;71,206;58,585;43,934;33,556;39,035;2019
;Lambayeque;1,292,105;115,422;109,734;112,464;98,967;109,663;103,114;98,218;89,092;82,246;74,178;70,416;59,470;49,170;41,309;29,854;21,202;27,586;2019
;Lima;10,416,139;711,753;649,942;701,899;692,157;863,296;860,297;819,860;830,230;794,304;714,346;649,286;554,130;441,636;380,405;288,179;207,196;257,223;2019
;Loreto;1,015,212;125,159;118,446;115,436;94,630;87,251;79,568;77,215;67,422;56,320;43,732;37,131;32,507;25,984;20,714;14,688;9,369;9,640;2019
;Madre de Dios;167,674;15,152;13,511;13,724;11,807;14,778;15,274;15,250;14,218;11,761;10,074;9,797;8,212;5,513;3,861;2,041;1,146;1,555;2019
;Moquegua;189,781;13,175;12,996;13,607;12,596;13,045;13,042;13,840;15,075;15,989;14,560;13,314;10,710;8,532;6,950;5,022;3,373;3,955;2019
;Pasco;272,157;25,314;26,075;27,825;23,089;21,848;20,623;21,123;21,854;19,019;15,836;13,378;10,591;8,006;6,194;4,452;3,061;3,869;2019
;Piura;2,013,517;181,821;176,745;186,486;166,762;175,562;177,226;155,161;145,956;134,304;106,785;97,705;85,208;71,760;57,719;36,465;27,057;30,795;2019
;Puno;1,239,022;112,384;112,116;114,678;106,509;105,985;107,216;98,192;85,932;76,536;70,421;58,268;49,091;40,494;33,147;25,748;18,995;23,310;2019
;San Martín;884,283;91,935;89,393;90,811;78,475;72,864;67,934;65,357;62,677;57,837;48,978;44,509;38,218;27,224;18,847;12,584;7,995;8,645;2019
;Tacna;363,205;25,236;23,600;25,487;25,418;29,283;28,320;28,754;29,756;30,082;25,790;24,401;20,464;15,229;11,804;8,230;5,573;5,778;2019
;Tumbes;246,699;21,652;20,671;21,210;19,235;19,433;18,236;18,703;19,040;19,574;16,485;14,062;11,844;9,193;6,949;4,572;2,842;2,998;2019
;Ucayali;574,509;66,416;58,707;56,190;48,141;50,045;45,371;41,410;41,982;38,038;30,409;26,869;22,642;16,654;12,523;7,938;5,042;6,132;2019
;Amazonas;426,806;46,366;45,604;48,452;38,344;34,122;32,610;35,625;30,653;26,793;19,932;18,147;14,984;11,654;9,040;6,109;4,095;4,276;2020
;Áncash;1,180,638;108,240;99,847;106,190;86,711;95,116;98,296;97,375;85,851;75,674;62,645;61,153;52,824;41,503;35,522;26,919;20,695;26,077;2020
;Apurímac;430,736;43,320;43,149;45,963;36,041;32,297;34,973;41,748;33,343;26,079;19,841;16,935;15,794;12,145;9,964;7,454;5,868;5,822;2020
;Arequipa;1,497,438;117,513;106,994;111,558;107,100;125,364;125,475;113,743;112,802;106,306;94,868;88,194;75,293;61,002;50,985;38,397;26,277;35,567;2020
;Ayacucho;668,213;69,135;67,847;71,565;59,807;56,327;60,360;56,756;45,744;36,973;30,799;26,564;24,130;18,737;15,058;10,903;8,510;8,998;2020
